business_name,category,location,website,phone,contact_name,score,pain_signals,pitch_angle,source
The Little Yoga Studio,Wellness/Yoga,Boulder CO,thelittleyogastudio.com,,Kelly Elle Kenworthy,70,"owner-operated, affordable classes model means thin margins + high admin load, scheduling/class management, review management",automated class reminders + waitlist + review requests + social scheduling,web search + yelp
Radiance Power Yoga,Wellness/Yoga,Boulder CO,radiancepoweryoga.com,,,65,"woman/family-owned, teacher trainings + workshops = complex scheduling, intro offer tracking manual",class scheduling automation + new student onboarding + membership renewal sequences,web search
Body Balance Strength & Wellness,Fitness/Wellness,Boulder CO,bodybalanceboulder.com,,,70,"personal training studio, GLP-1/peptide programs = client tracking complexity, no visible online booking on homepage, review-dependent business",client onboarding + appointment automation + follow-up sequences + review generation,web search
Iyengar Yoga Center of Boulder,Wellness/Yoga,Boulder CO,boulderyoga.com,,,55,"25+ year old studio, likely legacy systems, all levels classes = complex scheduling",scheduling modernization + student communication automation,web search
Yoga Pearl,Wellness/Yoga,Boulder CO (downtown),,,,50,"boutique downtown studio, likely small team",class management + social media automation,boulder downtown directory
Canyon Plumbing & Heating,Home Services,Boulder CO,canyonplumbers.com,720-480-6228,,75,"call-to-schedule model, no online booking visible, coupon-based marketing = manual tracking, review-dependent",automated booking/scheduling + lead follow-up + review request automation + coupon tracking,web search + site scrape
Bernie's Plumbing & Heating,Home Services,Boulder CO,berniesplumbing.com,(303) 442-7060,,80,"family-owned since 1956, veteran-operated, call-based scheduling, coupon ($25 off) = manual, serves 7 cities = complex routing, no online booking",online booking automation + dispatch optimization + automated follow-ups + review generation + coupon/promo automation,web search + site scrape
Save Home Heat Company,Home Services,Boulder/Denver,savehomeheat.com,,,60,"full range home services, multi-area coverage, likely manual dispatch",scheduling + dispatch + follow-up automation,web search
Mesa Plumbing,Home Services,Boulder County,mesa-plumbing.com,,,60,"24/7 availability claim = needs automated after-hours routing, multi-service",after-hours lead capture + automated scheduling + follow-up,web search
The Works Automotive Detailing,Auto/Detailing,Boulder CO,theworksboulder.com,,,65,"evolved from detail shop to boutique since 2011, referral-dependent, multiple service types = complex quoting",automated quoting + booking + referral program automation + follow-up sequences,web search + site scrape
Boulder Auto Detail,Auto/Detailing,Boulder CO,boulderautodetail.com,(303) 601-8482,,60,"ceramic coating/PPF/tint = multi-service quoting, review-dependent",automated booking + service reminders + review requests,web search
Transform Auto Detail,Auto/Detailing,Boulder CO,transformautodetail.com,,,55,"B2B (dealerships/collision shops) + consumer, since 2007",B2B relationship automation + invoicing + follow-up,web search
Boulder CPA Group,Accounting/CPA,Boulder CO,bouldercpagroup.com,,,70,"since 1991, serves individuals + small biz + independents, likely drowning in tax season admin, client onboarding manual",client onboarding automation + document collection + tax season workflow + appointment scheduling,web search + site scrape
Cahill & Associates PC,Accounting/CPA,Boulder CO,cahill-cpa.com,,,60,"tax prep + accounting + financial planning, small practice",document intake automation + client communication + scheduling,web search
Andrea Binion CPA,Accounting/CPA,Boulder CO,andreabinioncpa.com,,,65,"solo CPA, full service tax/accounting/consulting, http site (not https) = outdated tech",everything — scheduling + document collection + client portal + automated reminders,web search
Thomas Healy CPA,Accounting/CPA,Boulder CO,tomhealycpa.com,(303) 443-1804,,65,"solo CPA, phone-based contact",client intake automation + document collection + scheduling,web search
Alan Thal & Company CPAs,Accounting/CPA,Boulder CO,thalcpa.com,,,60,"full-service firm, personalized services = time-intensive",client communication automation + document workflows,web search
Kurtz Fargo LLP,Accounting/CPA,Boulder CO,kurtzfargo.com,,,55,"emerging growth + SMB focus, advisory services, multi-location",workflow automation + client reporting + document management,web search
Colorado Spine and Sport,Health/Chiro,Boulder/Louisville,coloradospineandsport.com,,,65,"multi-practitioner since 2001, PT + chiro + sports med = complex scheduling across providers",multi-provider scheduling + patient intake automation + follow-up sequences,web search
